word,start,end,duration,rms_mean,zcr_mean,mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,label
 Hi,16.04,16.92,0.88,0.035657298,0.048235212,-285.56296,154.94566,-29.796968,46.030666,-5.501808,16.915274,0.9244877,10.547995,-9.193559,-3.0895765,-12.643684,-1.0525115,1.2653874,0
" everybody,",16.92,17.8,0.8800625,0.054235823,0.162789481,-194.70546,44.03628,-35.103725,42.972706,-28.866024,15.077125,-22.333008,-5.045317,1.2633325,-15.578932,-5.7869067,-7.9292674,-7.540463,0
 this,18.1,18.26,0.16,0.033701103,0.293375651,-212.18591,-26.978249,-13.20334,24.342972,-20.205593,-22.637121,-14.38247,-5.8912053,-2.46431,-6.0825577,-8.289725,-3.1763003,-5.7498894,0
 is,18.26,18.42,0.16,0.02127176,0.378662109,-244.27864,-56.220066,34.711277,25.230003,12.237439,1.7842177,-2.8185751,0.8447285,-0.8483109,-5.5125732,-5.8399377,4.2840753,-2.5338926,0
 Pam,18.42,18.7,0.28,0.040905282,0.32047526,-230.54237,-19.837448,-17.651588,50.262783,-44.82721,-2.0934713,1.5893478,11.221622,-6.3030124,-5.490823,-5.035024,-6.412042,-5.4866343,0
 coming,18.7,19.56,0.86,0.03575503,0.239709925,-264.8059,26.59182,-47.00265,15.233649,-22.087875,9.668496,-12.958523,-6.720087,-9.6182995,-12.333645,-1.9522818,-20.058245,-7.798534,0
 to,19.56,19.9,0.34,0.03770818,0.333318537,-247.53702,-39.45735,28.776451,50.909412,-28.796074,0.47317028,5.099796,-12.023118,-19.238049,-12.269501,1.4340196,-9.12823,0.33782625,0
 you,19.9,20.16,0.26,0.02656339,0.321506076,-301.22067,-19.752207,13.805652,89.92741,-40.67961,-5.1695776,8.110771,-24.8473,7.4548254,-31.241768,9.747995,-23.043026,-3.76906,0
 from,20.16,20.5,0.34,0.02632751,0.305353338,-241.52255,13.166923,-33.061996,14.925647,-21.774412,14.586041,-11.786593,-15.295654,-3.960147,-10.292648,1.695415,-12.753587,-8.99603,0
 the,20.5,20.74,0.24,0.029715873,0.096496582,-259.92596,42.77935,-10.795913,46.377666,-25.742392,-2.9173017,-15.490185,-12.981686,-26.319613,-15.935664,2.2681274,-24.436378,6.6212296,0
 debut,20.74,21.3,0.56,0.051560335,0.272054036,-250.08434,-17.157225,5.5526557,76.3554,-43.165146,-7.9827642,-0.9739883,-15.234889,-10.0529585,-20.435743,-2.4804506,-18.593456,-6.2531695,0
 episode,21.3,22.22,0.92,0.043655824,0.248871902,-233.48105,30.507296,-25.443659,36.4563,-30.719137,0.4432258,-19.29419,-11.70178,-0.6384819,-14.794971,-6.40834,-15.229115,-4.4820614,0
 of,22.22,23.42,1.2,0.046434004,0.243022718,-270.93,27.253126,-53.232704,26.414434,-43.68214,15.832776,-21.177288,-6.9296217,-0.92962325,-10.563011,0.18432842,-15.517646,1.5759999,0
 a,23.42,23.66,0.24,0.040156886,0.232543945,-221.20505,-2.1874218,2.385674,53.69306,-33.24724,-23.872158,-17.524275,-16.786236,-16.529278,-7.6168127,-7.486096,-5.6703405,2.8598638,0
 new,23.66,24.1,0.44,0.05576058,0.129568917,-260.68607,37.315796,-4.1647825,61.958977,-26.326502,-9.844544,3.240132,-32.483913,-17.655455,-24.341503,-0.4487688,-12.773027,-15.757219,0
